,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
377,Oxford,75,GB,1563093579,93,51.75,-1.26,64.99,6.93
378,Sao Felix do Xingu,81,BR,1563093580,83,-6.64,-51.99,67.55,3.0
379,Lasa,20,CY,1563093582,58,34.92,32.53,84.2,9.17
380,Abu Kamal,0,SY,1563093583,20,34.45,40.92,94.73,15.43
381,Gorom-Gorom,39,BF,1563093584,51,14.45,-0.24,87.35,12.93
382,Laem Sing,40,TH,1563093585,66,12.48,102.07,93.99,11.41
383,Broome,40,GB,1563093587,67,52.47,1.45,68.0,10.29
384,Sobolevo,60,RU,1563093588,72,54.43,31.9,61.79,3.85
385,Lugo,100,ES,1563093589,100,43.01,-7.56,71.01,3.0
386,Sao Joao da Barra,0,BR,1563093590,79,-21.64,-41.05,60.53,4.56
387,Cabo San Lucas,0,MX,1563093591,85,22.89,-109.91,81.0,4.0
388,Alta Floresta,0,BR,1563093593,69,-9.87,-56.08,67.55,2.06
389,Walvis Bay,90,NA,1563093594,93,-22.95,14.51,59.0,3.36
390,Yichang,95,CN,1563093595,65,30.77,111.32,80.51,5.21
391,Hay River,90,CA,1563093596,87,60.82,-115.79,53.6,12.75
392,Saravan,0,AM,1563093598,34,39.72,45.65,82.4,6.93
393,Kruisfontein,0,ZA,1563093599,39,-34.0,24.73,68.45,7.74
394,Dosso,57,NE,1563093600,50,13.05,3.19,86.81,11.88
395,Marshall,1,US,1563093326,88,39.12,-93.2,73.4,5.82
396,Boende,52,CD,1563093603,52,-0.28,20.88,88.07,2.62
397,Nhulunbuy,75,AU,1563093604,83,-12.18,136.78,73.4,13.87
398,Sioux Lookout,40,CA,1563093340,82,50.1,-91.92,66.2,6.93
399,Robertsport,99,LR,1563093606,86,6.75,-11.37,77.09,9.08
400,Hofn,75,IS,1563093608,87,64.25,-15.21,55.4,2.24
401,Mahon,20,IE,1563093609,77,51.89,-8.4,66.0,5.82
402,Severobaykalsk,99,RU,1563093610,46,55.65,109.32,64.49,7.18
403,Nsanje,3,MZ,1563093611,44,-16.92,35.26,76.73,5.73
404,Chapais,90,CA,1563093612,87,49.78,-74.86,55.4,8.05
405,Anloga,20,GH,1563093614,83,5.79,0.9,78.8,10.29
406,Kuminskiy,0,RU,1563093615,38,58.67,66.57,87.53,12.41
407,Sigli,100,ID,1563093616,67,5.38,95.96,84.29,1.9
408,Comodoro Rivadavia,0,AR,1563093617,46,-45.87,-67.48,50.0,18.34
409,Manzhouli,38,CN,1563093619,27,49.6,117.43,83.39,11.99
410,Hambantota,40,LK,1563093620,63,6.12,81.12,91.4,14.99
411,Zhuanghe,71,CN,1563093621,73,39.7,122.97,77.09,5.28
412,Kaliua,6,TZ,1563093622,33,-5.06,31.79,83.75,8.28
413,Ukiah,0,US,1563093624,91,39.15,-123.21,62.01,2.62
414,Carbonia,20,IT,1563093625,74,39.17,8.53,82.99,6.93
415,Mangai,0,CD,1563093626,40,-4.07,19.59,92.75,1.54
416,Kashiwazaki,100,JP,1563093627,91,37.37,138.57,73.99,2.86
417,Matamoros,75,US,1563093629,89,25.87,-97.51,84.2,8.05
418,Gornopravdinsk,0,RU,1563093630,32,60.06,69.92,91.31,11.68
419,Kariba,0,ZW,1563093631,49,-16.53,28.78,67.73,4.72
420,Byron Bay,0,AU,1563093632,76,-28.65,153.62,55.0,3.36
421,Puerto Escondido,100,MX,1563093360,84,15.86,-97.07,74.75,4.36
422,Valparaiso,20,US,1563093466,78,41.47,-87.06,73.99,3.89
423,Nyurba,52,RU,1563093636,43,63.29,118.35,79.79,6.11
424,Buraydah,0,SA,1563093637,17,26.33,43.97,102.2,4.7
425,Praia da Vitoria,20,PT,1563093638,88,38.73,-27.07,69.8,6.8
426,Tecoanapa,90,MX,1563093640,83,16.99,-99.26,80.6,6.93
427,Tromso,90,NO,1563093641,70,69.65,18.96,50.0,11.41
428,Nantucket,90,US,1563093642,100,41.28,-70.1,73.0,8.05
429,Eslov,92,SE,1563093643,77,55.84,13.3,70.0,6.93
430,Avera,1,US,1563093645,93,33.19,-82.53,75.99,4.7
431,Kushima,75,JP,1563093646,83,31.5,131.29,82.4,3.36
432,Luis Correia,97,BR,1563093647,95,-2.88,-41.67,69.17,5.08
433,Wanning,75,AT,1563093648,77,48.64,13.53,66.0,6.93
434,Awjilah,0,LY,1563093650,24,29.14,21.3,91.85,10.89
435,Bagdarin,65,RU,1563093651,42,54.44,113.59,67.91,4.76
436,Prainha,46,BR,1563093652,98,-1.8,-53.48,71.51,4.25
437,Nishihara,90,JP,1563093653,94,35.74,139.53,75.0,3.22
438,Cururupu,85,BR,1563093654,99,-1.82,-44.87,71.51,3.49
439,Cintalapa,100,MX,1563093656,96,16.7,-93.73,68.27,1.9
440,Beringovskiy,37,RU,1563093657,91,63.05,179.32,55.67,4.52
441,Osterhofen,50,DE,1563093658,76,48.7,13.02,66.0,2.84
442,Labuhan,86,ID,1563093659,50,-2.54,115.51,86.27,2.77
443,Cotoca,20,BO,1563093661,94,-17.75,-63.0,69.8,6.93
444,Fort William,23,GB,1563093662,91,56.82,-5.11,57.0,1.01
445,Parabel,0,RU,1563093663,33,58.71,81.5,80.15,10.27
446,Tondano,75,ID,1563093664,58,1.3,124.91,86.0,4.7
447,Reforma,63,MX,1563093665,78,24.02,-104.65,63.0,5.01
448,Craig,1,US,1563093667,76,40.52,-107.55,57.2,5.57
449,Qaqortoq,40,GL,1563093668,57,60.72,-46.03,50.0,4.7
450,Katobu,54,ID,1563093669,65,-4.94,122.53,79.25,6.24
451,Ust-Kulom,100,RU,1563093671,58,61.69,53.69,68.45,4.72
452,Dakar,40,SN,1563093672,88,14.69,-17.45,78.8,6.93
453,Porto Nacional,0,BR,1563093673,64,-10.7,-48.41,68.0,4.7
454,Kirkuk,0,IQ,1563093674,15,35.47,44.4,100.49,10.69
455,Kumluca,0,TR,1563093675,35,36.37,30.29,72.95,6.71
456,Tornio,40,FI,1563093677,54,61.12,27.27,62.01,5.82
457,Waynesville,1,US,1563093678,88,37.83,-92.2,73.99,3.36
458,Qujing,100,CN,1563093679,80,25.49,103.8,68.99,6.78
459,Jonesboro,1,US,1563093560,88,35.84,-90.7,75.2,5.82
460,Half Moon Bay,90,US,1563093682,93,37.46,-122.43,61.0,5.82
461,Orvault,0,FR,1563093683,56,47.27,-1.62,73.99,9.17
462,Lufilufi,97,WS,1563093684,94,-13.87,-171.6,78.01,20.11
463,Gloucester,75,GB,1563093419,82,51.87,-2.25,66.0,6.26
464,Yerbogachen,78,RU,1563093687,41,61.28,108.01,80.15,1.72
465,Narsingi,100,IN,1563093690,43,18.04,78.43,91.0,7.0
466,Guerrero Negro,0,MX,1563093691,86,27.97,-114.04,67.19,7.23
467,Spornoye,0,RU,1563093692,52,50.84,37.29,68.0,6.71
468,Hanzhong,93,CN,1563093693,41,33.08,107.03,90.23,2.13
469,Krasnyy Yar,12,RU,1563093695,55,50.7,44.73,71.51,6.29
470,Ulladulla,19,AU,1563093696,53,-35.36,150.48,53.01,26.4
471,Jiuquan,0,CN,1563093698,11,39.73,98.49,84.65,9.15
472,Tasiilaq,100,GL,1563093701,100,65.61,-37.64,37.4,2.24
473,Linxia,100,CN,1563093702,68,35.6,103.21,59.99,7.34
474,Lubango,0,AO,1563093703,30,-14.92,13.49,79.25,5.48
475,Cedar City,1,US,1563093653,37,37.68,-113.06,73.99,6.93
476,Neyshabur,0,IR,1563093708,12,36.21,58.79,95.27,4.32
477,Tinskoy,99,RU,1563093709,51,56.15,96.92,74.93,5.95
478,Los Llanos de Aridane,75,ES,1563093711,73,28.66,-17.92,73.4,13.87
479,Gomez Plata,75,CO,1563093712,100,6.68,-75.22,57.2,6.93
480,Caceres,100,CO,1563093713,97,5.53,-74.53,63.41,3.2
481,Fort Dodge,1,US,1563093547,100,42.5,-94.17,73.99,3.36
482,Kyshtovka,0,RU,1563093715,58,56.56,76.62,80.15,8.08
483,Fare,0,PF,1563093717,72,-16.7,-151.02,78.53,10.74
484,Oksfjord,90,NO,1563093718,76,70.24,22.35,50.0,5.82
485,Bubaque,100,GW,1563093719,81,11.28,-15.83,79.25,8.03
486,Touros,40,BR,1563093720,94,-5.2,-35.46,73.4,4.7
487,Ponta Delgada,75,PT,1563093721,100,37.73,-25.67,69.8,4.7
488,Sitka,0,US,1563093723,84,37.17,-99.65,66.0,7.83
489,General Roca,0,AR,1563093724,86,-39.03,-67.58,39.2,3.31
490,Balabac,100,PH,1563093725,82,7.99,117.06,77.63,4.74
491,Lagunas,30,PE,1563093726,99,-5.23,-75.68,69.35,1.79
492,Jiexiu,23,CN,1563093728,39,37.02,111.92,83.03,11.36
493,Chikwawa,24,MW,1563093729,48,-16.03,34.79,74.93,7.0
494,Kunya,36,NG,1563093730,47,12.22,8.53,87.89,12.73
495,Pokrovsk,92,RU,1563093731,48,61.48,129.14,82.85,3.85
496,Bhabua,88,IN,1563093733,42,25.04,83.61,99.77,14.56
497,Vila Velha,20,BR,1563093734,78,-3.71,-38.6,86.0,3.36
498,Ciudad Bolivar,0,VE,1563093735,91,8.12,-63.55,73.85,7.11
499,Pechenga,11,RU,1563093736,49,58.89,41.46,67.91,3.2
500,Kimbe,68,PG,1563093738,84,-5.56,150.15,76.73,3.71
501,Aklavik,20,CA,1563093739,58,68.22,-135.01,59.0,5.82
502,Kargil,34,PK,1563093740,28,34.56,76.13,63.77,1.21
503,Ahipara,62,NZ,1563093741,67,-35.17,173.16,59.09,27.96
504,Kedrovyy,40,RU,1563093742,47,56.17,91.82,77.0,4.47
505,Khani,40,GE,1563093744,61,41.96,42.96,77.0,2.24
506,Vacaria,100,BR,1563093745,99,-28.51,-50.94,57.99,5.95
507,Ust-Ordynskiy,0,RU,1563093746,50,52.8,104.75,75.2,8.95
508,Yokadouma,100,CM,1563093747,98,3.52,15.05,69.17,1.16
509,Takoradi,41,GH,1563093749,71,4.89,-1.75,79.07,2.82
510,Aginskoye,80,RU,1563093750,36,51.11,114.54,80.33,4.34
511,Ures,80,MX,1563093751,81,30.73,-112.95,79.0,1.01
512,Kuytun,100,RU,1563093752,82,54.34,101.51,63.05,7.83
513,Kiunga,100,PG,1563093753,83,-6.12,141.3,76.01,2.01
514,Pundaguitan,100,PH,1563093755,82,6.37,126.17,77.63,3.53
515,Itoman,40,JP,1563093756,79,26.12,127.67,89.6,12.75
516,Recreio,0,BR,1563093757,99,-21.52,-42.47,55.0,1.01
517,Huarmey,100,PE,1563093758,85,-10.07,-78.15,62.69,11.52
518,Atambua,61,ID,1563093760,59,-9.11,124.89,80.87,17.69
519,Sheridan,1,US,1563093761,49,39.65,-105.03,69.8,11.41
520,Adiake,40,CI,1563093762,94,5.29,-3.3,77.0,2.24
521,Plettenberg Bay,0,ZA,1563093763,46,-34.05,23.37,65.93,4.03
522,Isagarh,99,IN,1563093765,47,24.84,77.89,92.75,16.15
523,Schruns,40,AT,1563093766,76,47.08,9.92,75.99,6.93
524,Raudeberg,75,NO,1563093767,62,61.99,5.14,55.4,17.22
525,Nicoya,100,CR,1563093768,1,10.15,-85.45,70.0,4.0
526,Bayan,100,CN,1563093770,53,36.1,102.26,63.23,5.39
527,Kawalu,13,ID,1563093771,62,-7.38,108.21,75.47,7.14
528,Forbes,97,AU,1563093772,67,-33.38,148.01,48.0,11.9
529,Pouembout,80,NC,1563093773,73,-21.12,164.9,71.15,11.7
530,Padang,3,ID,1563093775,78,-0.92,100.36,83.21,11.34
531,Vulcan,0,CA,1563093776,90,50.4,-113.26,53.01,4.03
532,Mnogovershinnyy,99,RU,1563093777,62,53.94,139.92,70.07,4.18
533,Nyuksenitsa,3,RU,1563093778,44,60.41,44.24,71.69,1.9
534,Constitucion,63,MX,1563093779,78,23.99,-104.67,63.0,5.01
535,Sal Rei,40,CV,1563093781,100,16.18,-22.92,75.2,6.93
536,Callaway,1,US,1563093782,83,46.98,-95.91,73.4,5.82
537,Kirovskiy,100,RU,1563093783,79,45.09,133.51,71.51,4.61
538,Bemidji,75,US,1563093699,93,47.48,-94.89,68.0,6.69
539,Okotoks,40,CA,1563093786,81,50.72,-113.98,57.0,3.36
540,Buchanan,20,LR,1563093787,94,5.88,-10.05,75.2,11.68
541,Zhob,0,PK,1563093788,7,31.34,69.45,96.89,10.54
542,Axim,84,GH,1563093790,76,4.87,-2.24,76.91,3.89
543,Makat,89,KZ,1563093791,39,47.65,53.35,88.43,12.19
544,Conceicao do Araguaia,0,BR,1563093792,62,-8.26,-49.26,67.91,1.07
545,Key West,1,US,1563093769,83,47.93,-96.78,71.6,5.82
546,Karatau,0,KZ,1563093795,11,43.18,70.46,98.33,13.94
547,Nagtipunan,100,PH,1563093796,87,16.22,121.6,83.39,1.66
548,Aswan,0,EG,1563093797,12,24.09,32.9,103.37,4.25
549,Kaabong,43,UG,1563093798,67,3.51,34.14,72.41,6.02
550,Ferkessedougou,17,CI,1563093800,83,9.6,-5.2,75.11,7.09
